        'ru_RU': {
        'view_pdf': "Посмотреть PDF",
        'view_document': "Посмотреть документ",
        'replace_document': "Заменить документ",
        'delete_document': "Удалить документ",
        'uploaded': "Загружено",
        'warnings': "Предупреждения",
        'app_activity': "Активность приложения",
        'more_details': "Подробнее",
        'checkout_before_stop_work_message': "Вам необходимо выехать перед окончанием работы",
        'add_invoice': "Добавить счет",
        'invoice_number': "Номер счета",
        'invoice_date': "Дата счета",
        'add_payslip': "Добавить платежную ведомость",
        'from_date': "С даты",
        'to_date': "На сегодняшний день",
        'period': "Период",
        'updated_on': "Обновлено",
        'from_date_select_note': "Пожалуйста, сначала выберите дату",
        'error_wrong_to_date_selection': "Дата не может быть раньше даты",
        'exceeding_time_note': "Добавить примечание о превышении рекомендуемого времени",
        'download': "Скачать",
        'msg_empty_selected_document': "Пожалуйста, выберите хотя бы 1 документ.",
        'net_timesheet': "Чистое расписание",
        'net_price_work': "Чистая ценаРабота",
        'penalty_amount': "Сумма штрафа",
        'expense_amount': "Расходы оплачены",
        'total_paid': "Всего оплачено",
        'gross': "Валовой",
        'paid_leave': "Оплачиваемый отпуск",
        'unpaid_leave': "Неоплачиваемый отпуск",
        'gross_total': "Валовая сумма",
        'msg_empty_billing_info_warning': "Пожалуйста, заполните свои платежные данные, чтобы начать работу.",
        'contact_hr': "Свяжитесь с отделом кадров",
        'ref': "Ref",
        'create_order': "Создать заказ",
        'order': "Заказ",
        'select_cis': "Выберите СНГ",
        'draft': "Черновик",
        'draft_orders': "Проекты приказов",
        'out_of_stock': "Распродано",
        'pending_approval': "Ожидает одобрения",
        'order_id': "Идентификатор заказа",
        'expected_delivery_date': "Ожидаемая дата доставки",
        'delivery_date': "Дата доставки",
        'store': "Магазин",
        'supplier': "Поставщик",
        'select_delivery_time': "Выберите время доставки",
        'empty_address_list': "Адрес не найден",
        'invoice': "Счет",
        'unite_total': "Объединиться Тотал",
        'tax': "Налог",
        'msg_add_at_least_one_qty': "Добавьте хотя бы 1 количество",
        'msg_selected_products_same_supplier': "Все выбранные товары должны принадлежать одному поставщику!",
        'msg_select_at_least_one_qty': "Выберите хотя бы 1 количество",
        'msg_select_at_least_one_item': "Выберите хотя бы 1 элемент",
        'crete_buyer_order_checkbox_note': "Внедрить корректировку ставок для продуктов в каталоге.",
        'order_length_validation_message': "Идентификатор заказа должен состоять из 6 цифр.",
        'product_details': "Подробная информация о продукте",
        'store_Settings': "Настройки магазина",
        'suppliers': "Поставщики",
        'categories': "Категории",
        'receive': "Получать",
        'received_qty': "Получено Кол-во",
        'received_on': "Получено",
        'qty_to_receive': "Кол-во для получения",
        'basket': "Корзина",
        'order_now': "Заказать сейчас",
        'delivery_time': "Срок поставки",
        'items': "предметы",
        'out_of_stock_msg': "отсутствуют на складе; они скоро будут доставлены",
        'empty_basket_msg': "Ваша корзина пуста",
        'empty_basket_sub_msg': "Похоже, вы еще ничего не добавили",
        'product_code': "Код продукта",
        'product_set': "Набор продуктов",
        'product_info': "Информация о продукте",
        'technical_specification': "Техническая спецификация",
        'no_products_msg': "Товары не найдены",
        'no_products_sub_msg': "По вашему запросу не найдено ни одного продукта",
        'added': "Добавлен",
        'add_to_cart': "Добавить в корзину",
        'receive_date': "Дата получения",
        'order_date': "Дата заказа",
        'ordered_by': "Заказал",
        'qty': "Qty",
        'order_users': "Заказать пользователей",
        'stores': "Магазины",
        'details': "Подробности",
        'collected': "Собрано",
        'returned': "Вернулся",
        'cancelled': "Отменено",
        'no_orders_found': "Заказы не найдены",
        'collect': "Собирать",
        'preparing': "Подготовка",
        'ready': "Готовый",
        'upcoming': "Предстоящие",
        'processing': "Обработка",
        'in_stock': "В наличии",
        'unfulfilled': "Невыполненный",
        'issued': "Изданный",
        'servicing': "Обслуживание",
        'internal_orders': "Внутренние заказы",
        'items_in_order': "Товары в порядке",
        'adjustment': "Корректирование",
        'delete_request': "Удалить запрос",
        'net_payable': "Чистая к оплате",
        'reorder_all': "Переупорядочить все",
        'return': "Возвращаться",
        'items_qty': "Кол-во позиций",
        'order_proceed_msg': "Вы уверены, что хотите выполнить этот заказ?",
        'order_deliver_msg': "Вы уверены, что хотите доставить этот заказ?",
        'order_received_msg': "Вы уверены, что хотите получить этот заказ?",
        'order_cancel_msg': "Вы уверены, что хотите отменить этот заказ?",
        'msg_storeman_order_note_and_photo': "Пожалуйста, выберите Примечание и фото",
        'leave_including': "Оставить в том числе",
        'select_store': "Выберите магазин",
        'no_store_found': "Магазин не найден",
        'reorder': "Изменить порядок",
        'parent_category': "Родительская категория",
        'add_supplier': "Добавить поставщика",
        'update_supplier': "Обновить поставщика",
        'add_store': "Добавить магазин",
        'update_store': "Обновить магазин",
        'store_manager': "Менеджер магазина",
        'contact_person_details': "Контактное лицо",
        'contact_person_name': "Имя контактного лица",
        'contact_person_email': "Электронная почта контактного лица",
        'contact_person_phone': "Телефон контактного лица",
        'mark_as_preparing': "Отметить как готовящееся",
        'mark_as_ready': "Отметить как готовое",
        'mark_as_delivered': "Отметить как доставленное",
        'ready_to_collect': "Готов собрать",
        'cancel_order': "Отменить заказ",
        'return_order': "Возврат заказа",
        'ready_to_deliver': "Готов доставить",
        'price': "Цена",
        'delivered_qty': "Доставленное количество",
        'cancelled_qty': "Отменено количество",
        'cancelled_order_invoice': "Счет-фактура отмененного заказа",
        'user_not_exist_message': "Пользователь не существует в этой компании.",
        'near_miss_reporting': "Почти мисс репортаж",
        'report_incident': "Сообщить об инциденте",
        'hazard_type': "Тип опасности",
        'select_hazard_type': "Выберите тип опасности",
        'write_description_here': "Напишите здесь описание",
        'video': "Видео",
        'clear': "Прозрачный",
        'tap_to_upload_media': "Нажмите, чтобы загрузить медиафайлы",
        'photo_video': "Фото или видео",
        'incident_type': "Тип инцидента",
        'select_incident_type': "Выберите тип инцидента",
        'select_threat_level_assessment': "Выберите уровень угрозы",
        'threat_level_assessment': "Уровень угрозы",
        'notify_to': "Уведомить",
        'upload': "Загрузить",
        'record': "Записывать",
        'audio': "Аудио",
        'create_new_album': "Создать новый альбом",
        'album_name': "Название альбома",
        'products': "Продукты",
        'favorites': "Избранное",
        'create_a_new_album': "Создать новый альбом",
        'confirm_order': "Подтвердить заказ",
        'collected_order_confirmation': "Вы уверены, что хотите пометить этот заказ как собранный?",
        'provide_cancel_order_reason_title': "Укажите причину отмены этого заказа.",
        'provide_cancel_order_reason_description': "Эта информация необходима для отслеживания проекта и истории заказов.",
        'enter_cancellation_reason': "Введите причину отмены",
        'add_set': "Добавить набор",
        'search_products': "Поиск продуктов",
        'collect_order_preparing': "Вы уверены, что хотите пометить этот заказ как готовящийся?",
        'collect_order_confirmation': "Вы уверены, что хотите пометить этот заказ как готовый к сбору?",
        'out_for_deliver_confirmation': "Вы уверены, что хотите пометить этот заказ как готовый к доставке?",
        'order_delivered_confirmation': "Вы уверены, что хотите отметить этот заказ как доставленный?",
        'personal_details': "Личные данные",
        'hazard': "Опасность",
        'submit_report': "Отправить отчет",
        'please_select_hazard_type': "Пожалуйста, выберите тип опасности",
        'attachments_text': "Вложения",
        'in_service_by': "В обслуживании",
        'no_data_found': "Данные не найдены",
        'manage_forms': "Управление формами",
        'no_forms_found': "Формы не найдены",
        'no_forms_found_sub_msg': "Создайте новую форму, чтобы начать",
        'entries': "Записи",
        'views': "Просмотры",
        'assigned_to': "Назначено",
        'created_by': "Создано",
        'administrated_by': "Управляется",
        'select_option': "Выберите вариант",
        'please_select_option': "Пожалуйста, выберите вариант",
        'please_fix_highlighted_fields': "Пожалуйста, исправьте выделенные поля.",
        'this_field_is_required': "Это поле обязательно к заполнению.",
        'value': "Ценить",
        'enter_your_answer': "Введите свой ответ...",
        'add_location': "Добавить местоположение",
        'update_location': "Обновить местоположение",
        'latitude': "Широта",
        'longitude': "Долгота",
        'accuracy': "Точность",
        'latitude_longitude': "Широта, Долгота",
        'location_coordinates_example': "Пример: 23.0225, 72.5714.",
        'multiple_selection': "Множественный выбор",
        'unsupported_field_type': "Неподдерживаемый тип поля",
        'submit_incident': "Отправить инцидент",
        'generate_report': "Создать отчет",
        'project_report': "Отчет о проекте",
        'address_report': "Адресный отчет",
        'store_report': "Отчет о магазине",
        'supplier_report': "Отчет поставщика",
        'user_report': "Пользовательский отчет",
        'trade_report': "Торговый отчет",
        'team_report': "Отчет команды",
        'item_report': "Отчет об объекте",
        'select_modules_for_report': "Выберите модули",
        'export_report': "Экспорт",
        'please_select_modules': "Пожалуйста, выберите хотя бы один вариант",
        'view_file': "Посмотреть файл",
        'share_file': "Поделиться файлом",
        'later': "Позже",
        'save_to_files': "Сохранить в файлы",
        'view_downloaded_document': "Хотите просмотреть загруженный документ?",
        'unable_to_share_file': "Невозможно поделиться файлом",
        'click_to_upload': "Нажмите, чтобы загрузить",
        'attachment_types': "Изображения, видео, аудио, PDF",
        'max': "Макс",
        'each': "каждый",
        'new_files': "НОВЫЕ ФАЙЛЫ",
        'no_attachments_added_yet': "Вложений пока не добавлено",
        'enter_title': "Введите название",
        'add_hazard': "Добавить опасность",
        'hazard_title': "Название опасности",
        'health_safety_settings': "Настройки безопасности для здоровья",
        'hazards': "Опасности",
        'incident_types': "Типы инцидентов",
        'threat_levels': "Уровни угрозы",
        'add_incident_type': "Добавить тип инцидента",
        'Incident_type_title': "Название типа инцидента",
        'add_threat_level': "Добавить уровень угрозы",
        'threat_level_title': "Название уровня угрозы",
        'no_hazards_found': "Опасностей не обнаружено",
        'no_incident_types_found': "Типы инцидентов не найдены",
        'no_threat_levels_found': "Уровни угрозы не обнаружены",
        'title': "Заголовок",
        'enter_report_title': "Введите название отчета",
        'title_is_required': "Требуется название",
        'incident_type_required': "Укажите тип инцидента.",
        'threat_level_required': "Требуется уровень угрозы",
        'notify_to_required': "Требуется уведомление пользователя",
        'one_file_required': "Требуется хотя бы один файл",
        'delete_near_miss_report': "Удалить отчет о потенциальном промахе",
        'are_you_sure_delete_near_miss_description': "Вы уверены, что хотите удалить этот отчет о происшествии? Это действие невозможно отменить.",
        'near_miss_report_deleted_success': "Отчет о промахе успешно удален",
        'delete_incident_report': "Удалить отчет об инциденте",
        'are_you_sure_delete_incident_description': "Вы уверены, что хотите удалить этот отчет об инциденте? Это действие невозможно отменить.",
        'incident_report_deleted_success': "Отчет об инциденте успешно удален",
        'total_leaves': "Всего листьев",
        'delete_hazard': "Удалить опасность",
        'delete_incident_type': "Удалить тип инцидента",
        'delete_threat_level': "Удалить уровень угрозы",
        'delete_confirmation': "Вы уверены, что хотите удалить это?",
        'hazard_deleted': "Опасность удалена",
        'incident_deleted': "Инцидент удален",
        'threat_level_deleted': "Уровень угрозы удален",
        'edit_hazard': "Изменить опасность",
        'edit_incident_type': "Изменить тип инцидента",
        'edit_threat_level': "Изменить уровень угрозы",
        'add_near_miss_reporting': "Добавить отчет о промахе",
        'edit_near_miss_reporting': "Редактировать отчет о потенциальном промахе",
        'update_report': "Обновить отчет",
        'saved': "Сохранено",
        'add_report_incident': "Добавить отчет об инциденте",
        'update_incident': "Обновить инцидент",
        'edit_report_incident': "Редактировать отчет об инциденте",
        'view_details': "Посмотреть детали",
        'failed_to_parse_analytics_data': "Не удалось проанализировать данные аналитики.",
        'check_ins': "Регистрация",
        'stopped_work_automatically': "Автоматически прекратил работу",
        'late_work_started_': "Поздняя работа\nначалось",
        'unauthorized_leave_': "Несанкционированный\nуйти",
        'outside_working_area_': "Вне работы\nплощадь",
        'total_worklogs': "Всего рабочих журналов",
        'induction_and_training': "Введение и обучение",
        'image_not_found': "Изображение не найдено",
        'click_to_open_pdf': "Нажмите, чтобы открыть PDF",
        'file': "Файл",
        'partially_delivered': "Частично доставлено",
        'select_from': "Выбрать из",
        'files': "Файлы",
        'view_downloaded_file': "Хотите просмотреть загруженный файл?",
        'file_saved_to': "Файл сохранен в",
        'error': "Ошибка",
        'could_not_open_file': "Не удалось открыть файл",
        'no_technical_info': "Техническая спецификация не добавлена",
        'offline_worklog_data_available_message': "У вас есть данные автономного рабочего журнала. Необходимо загрузить эти данные на сервер.",
        'offline_worklog_data_conflict': "Конфликт данных",
        'offline_worklog_overlapping_shifts': "перекрывающиеся смены",
        'offline_worklog_overlap': "перекрывать",
        'offline_worklog_start': "Начинать",
        'offline_worklog_end': "Конец",
        'offline_worklog_keep': "Держать",
        'payable': "К оплате",
        'store_setting': "Настройка магазина",
        'filter_team': "Фильтровать команду",
        'all_teams': "Все команды",
        'search_users': "Поиск пользователей...",
        'project_analytics': "Аналитика проекта",
        'all_budgets': "Все бюджеты",
        'profit': "Выгода",
        'all_payments': "Все платежи",
        'transactions': "транзакции",
        'received': "Полученный",
        'invoiced': "выставлен счет",
        'clear_all': "Очистить все",
        'clear_all_cart_msg': "Вы уверены, что хотите очистить корзину?",
        'expected_delivery_time': "Ожидаемое время доставки",
        'manage_stock': "Управление запасами",
        'stock_movement': "Движение акций",
        'stock_in': "В",
        'stock_out': "Вне",
        'amount': "Количество",
        'adjusted_stock': "Скорректированный запас",
        'stock_in_hand': "Запас в руке",
        'stocks': "Акции",
        'all_stocks': "Все акции",
        'filters': "Фильтры",
        'apply': "Применять",
        'edit_stock': "Редактировать акции",
        'qty_in_stock': "КОЛ-ВО на складе",
        'reference': "Ссылка",
        'deduct': "Вычесть",
        'add_a_pack': "Добавить пакет",
        'deduct_quantity_from_pack': "Вычесть количество из упаковки",
        'adjust_qty': "Изменить количество",
        'enter_number_below_to_deduct_from_pack': "Введите номер ниже, чтобы вычесть из пакета",
        'enter_quantity': "Пожалуйста, введите количество",
        'stock_updated_successfully': "Акции успешно обновлены",
        'all_forms_not_submitted': "Пожалуйста, отправьте все формы до начала работы.",
        'labor': "Труд",
        'others': "Другие",
        'total_budget': "Общий бюджет",
        'spent': "потраченный",
        'overspent': "перерасход",
        'left': "левый",
        'overspending': "перерасход",
        'budget_allocated': "Выделенный бюджет",
        'amount_spent': "Потраченная сумма",
        'overspent_by': "Перерасход по",
        'remaining': "Оставшийся",
        },

        'uk_UA': {
        'app_title': "Belcka",
        'first_screen_welcome_title': "Ласкаво просимо до Belcka",
        'first_screen_note': "Створити. Підключитися. Перемагай — запускай свій\nкомпанії або приєднатися до вашої команди зараз.",
        'need_help': "Потрібна допомога?",
        'create_new_account': "Створити новий акаунт",
        'create_company': "Створити компанію",
        'log_in': "Увійти",
        'log_in_note1': "Який у вас мобільний\nномер?",
        'log_in_note2': "Один номер. Нуль клопоту. Миттєвий вхід.",
        'do_not_have_an_account': "Немає облікового запису?",
        'continue': "Продовжити",
        'finish': "Закінчити",
        'enter_verification_code': "Введіть код підтвердження",
        'verification_code_sent_note': "Ми надіслали 6-значний код на адресу\nваш телефон",
        'resend_code_in': "Повторно надіслати код",
        'did_not_get_the_code': "Не отримали код?",
        'resend_now': "Повторно надіслати зараз",
        'sign_up_free_and_start_using_otm_system': "Зареєструйтесь безкоштовно та починайте\nза допомогою Belcka",
        'sign_up': "Зареєструватися",
        'login': "Логін",
        'required_field': "Обов'язкове поле",
        'phone': "Телефон",
        'phone_number': "Номер телефону",
        'email': "Електронна пошта",
        'try_again': "Спробуйте знову",
        'no_internet': "Перевірте підключення до Інтернету!",
        'no_internet_text': "Немає Інтернету",
        'verify_otp': "Підтвердьте OTP",
        'verify_otp_hint1': "Введіть чотиризначний код, який вам надіслали за допомогою мобільного SMS.",
        'click_on_': "Натисніть Увімкнути",
        'resend_': "Повторно відправити,",
        'otm_received_note': "якщо ви не отримаєте через 2 хв",
        'submit': "Надіслати",
        'enter_otp': "Введіть OTP",
        'otp_resend_success_message': "Otp повторно надіслати",
        'home': "додому",
        'profile': "Профіль",
        'more': "більше",
        'next': "Далі",
        'first_name': "Ім'я",
        'last_name': "Прізвище",
        'middle_name': "По батькові",
        'upload_photo_note_sign_up': "Завантажте свою фотографію, щоб ваша команда\nприятель може впізнати вас",
        'upload_photo_capital': "ЗАВАНТАЖИТИ ФОТО",
        'hint_upload_user_image': "Бажаний розмір зображення: квадрат",
        'register': "зареєструватися",
        'error_phone_number_contain_10_digits': "Номер телефону має містити 10 цифр",
        'error_phone_number_start_with_zero': "Номер телефону не починається з 0",
        'error_phone_number_already_exist': "Номер телефону вже існує",
        'your_weekly_score_is': "Ваш тижневий бал становить",
        'analytics': "Аналітика",
        'today_summery': "Сьогоднішнє літо",
        'location_updates': "Оновлення місцезнаходження",
        'next_updates': "Наступні оновлення",
        'scheduled_break': "Запланована перерва",
        'empty_data_message': "Дані не знайдено",
        'search': "Пошук",
        'logout': "Вийти",
        'logout_msg': "Ви впевнені, що бажаєте вийти?",
        'yes': "так",
        'no': "немає",
        'skip': "Пропустити",
        'close': "Закрити",
        'view_profile': "Переглянути профіль",
        'add_zone': "Додати зону",
        'update_zone': "Зона оновлення",
        'zone_color': "Колір зони",
        'search_location': "Місце пошуку",
        'search_location_hint': "Пошук місця...",
        'polygon_draw_hint': "Торкніться, щоб додати бали — торкніться біля початку, щоб закрити (@pts pts)",
        'zone_project_required': "Проект не знайдено. Спочатку відкрийте список зон із проекту або додайте зону з проекту.",
        'polygon_min_points': "Полігональна зона потребує не менше 3 балів.",
        'done': "Готово",
        'map_view_label': "Карта",
        'satellite_view_label': "Супутник",
        'add_by_shape': "Додати за формою",
        'add_by_post_code': "Додати за поштовим індексом",
        'create_or_join_company': "Створіть або приєднайтеся\nкомпанії",
        'create_new_company': "Створіть нову компанію",
        'join_a_company': "Приєднатися до компанії",
        'join_company': "Приєднатися до компанії",
        'select_company': "Виберіть Компанія",
        'or': "Або",
        'add_company_code': "Додайте код компанії",
        'company_access_code': "Код доступу компанії",
        'enter_company_code_note': "Будь ласка, введіть 6-значний код\nнадані вашою компанією для приєднання",
        'company_request_approved_note': "Ми повідомимо вас, щойно ваш запит на приєднання до компанії буде схвалено.",
        'select_your_trade': "Виберіть свою торгівлю",
        'whats_your_company_details': "Яка ваша компанія\nдеталі?",
        'enter_valid_email_address': "Введіть дійсну адресу електронної пошти.",
        'email_example_placeholder': "email@example.com",
        'number_placeholder': "0",
        'click_to_sign': "Натисніть, щоб підписати",
        'sign': "Знак",
        'upload_an_image': "Завантажте зображення",
        'upload_a_video': "Завантажте відео",
        'scan': "Сканувати",
        'scan_failed': "Неможливо відсканувати документ. Спробуйте ще раз.",
        'camera_permission_required': "Для сканування документів потрібен дозвіл камери.",
        'upload_a_file': "Завантажте файл",
        'upload_more_files': "Завантажте більше файлів",
        'record_audio': "Запис звуку",
        'stop_recording': "Зупинити запис",
        'record_again': "Запис знову",
        'microphone_permission_required': "Для запису звуку потрібен дозвіл мікрофона.",
        'microphone_permission_denied': "У дозволі на мікрофон відмовлено. Увімкніть це в налаштуваннях.",
        'audio_recording_unavailable': "Аудіозапис недоступний. Зупиніть програму та запустіть її знову.",
        'audio_recording_failed': "Не вдається почати аудіозапис.",
        'business_email': "Ділова електронна пошта",
        'how_many_users_Are_on_your_team': "Скільки користувачів\nу вашій команді?",
        'which_field_best_describe_your_business': "Яке поле краще\nописує ваш бізнес?",
        'business_field_info_note1': "Виберіть інструменти для своєї команди\nпотреби.",
        'business_field_info_note2': "Налаштуйте свій робочий простір, вибравши\nфункції, якими ви будете користуватися щодня",
        'operations': "Операції",
        '': "",
        'do_it_later': "Зробіть це пізніше",
        'empty_company_list': "Компанії не знайдено",
        'empty_project_list': "Проект не знайдено",
        'are_you_sure_you_want_to_join': "Ви впевнені, що бажаєте приєднатися?",
        'are_you_sure_you_want_to_stop_work': "Ви впевнені, що хочете припинити роботу?",
        'please_enter_company_code': "Будь ласка, введіть код компанії",
        'please_select_trade': "Виберіть торгівлю",
        'please_select_image': "Виберіть зображення",
        'please_select_attachment': "Виберіть вкладення",
        'select_trade': "Виберіть Торгівля",
        'empty_trade_list': "Торг не знайдено",
        'scan_barcode_note': "Помістіть штрих-код у прямокутник видошукача, щоб відсканувати його.",
        'error_invalid_qr_code_via_id_card_scan': "Недійсний QR-код. Відскануйте дійсне посвідчення особи",
        'company_details': "Відомості про компанію",
        'upload_photo': "Завантажити фото",
        'preferred_company_logo_size': "Бажаний розмір зображення: 600 x 250 пікселів.",
        'company_name': "Назва компанії",
        'head_office_location': "Розташування головного офісу",
        'currency': "Валюта",
        'select_currency': "Виберіть Валюта",
        'empty_currency_list': "Валюту не знайдено",
        'dashboard': "Приладова панель",
        'exit_warning': "Натисніть кнопку «Назад» ще раз, щоб вийти.",
        'login_with_otp': "Увійдіть за допомогою OTP",
        'select_photo_from_': "Виберіть фото з:",
        'camera': "Камера",
        'gallery': "Галерея",
        'edit_photo': "Редагувати фото",
        'empty_image_selection': "Виберіть зображення",
        'ERR103': "Номер телефону вже існує",
        'start_work': "Почати роботу",
        'continue_yesterdays_work': "Продовжити вчорашню роботу",
        'timesheet': "Табель обліку робочого часу",
        'requests': "Запити",
        'team': "команда",
        'select_project': "Виберіть Проект",
        'search_projects_hint': "Пошук проектів...",
        'project_selected': "Проект вибрано",
        'change': "Зміна",
        'back': "Назад",
        'all_projects': "Всі проекти",
        'select_shift': "Виберіть Shift",
        'all_shifts': "Всі зміни",
        'work_time_on': "Час роботи на",
        'break_time_on': "Час перерви",
        'leave_time_on': "Залиште час",
        'total_work_hours_today': "Загальна кількість робочих годин сьогодні",
        'stop_shift': "Зупинити Shift",
        'stop_work': "Припинити роботу",
        'stop_work_question': "Зупинити роботу?",
        'stop_work_job_confirm': "Ви точно хочете\nприпинити працювати на цій роботі?",
        'todays_worked_time': "Сьогодні робочий час",
        'shift_completed': "Зміна завершена",
        'great_job_today': "Чудова робота сьогодні!",
        'started': "розпочато",
        'finished': "Готово",
        'worked_time': "Відпрацьований час",
        'work_time': "Час роботи",
        'total_earnings': "Загальний заробіток",
        'penalties': "Штрафи",
        'todays_activity': "Сьогоднішня діяльність",
        'my_day_log': "Мій щоденник",
        'check_in_addresses': "Адреси реєстрації",
        'switch_project': "Переключити проект",
        'check_in_': "Заїзд",
        'check_out_': "Виїзд",
        'select_address': "Виберіть Адреса",
        'choose_site_address': "Виберіть адресу сайту",
        'choose_todays_task': "Виберіть сьогоднішнє завдання",
        'select_task': "Виберіть Завдання",
        'your_tasks': "Ваші завдання",
        'take_photo': "Зробіть фото",
        'update_task_progress': "Оновити хід виконання завдання",
        'how_much_task_completed': "Яку частину цього завдання було виконано?",
        'task_fully_completed': "Завдання позначено як повністю виконане",
        'change_progress_if_not_completed': "Ви можете змінити прогрес, якщо завдання не було виконано повністю.",
        'add_note_optional': "Додати примітку (необов'язково)",
        'add_note_about_task': "Додайте примітку про це завдання...",
        'save_progress': "Зберегти прогрес",
        'lets_start_work_day': "Почнемо ваш робочий день",
        'lets_wrap_up_work_day': "Давайте підведемо ваш робочий день",
        'ready_to_start_work': "Готовий до роботи",
        'in_progress': "В роботі",
        'completed': "Виконано",
        'status': "Статус",
        'sort_by_': "Сортувати за:",
        'filter_by_': "Фільтрувати за:",
        'search_by_address_or_postcode': "Пошук за адресою або поштовим індексом",
        'details_of_work': "Деталь роботи",
        'type_of_work': "Тип роботи",
        'description': "опис",
        'photos_before': "Фотографії до",
        'photos_after': "Фотографії після",
        'save': "зберегти",
        'shift_summery': "Підсумок зміни",
        'total_hours': "Загальна кількість годин",
        'total_amount': "Загальна сума",
        'rejected_hours': "Відхилені години",
        'approved_hours': "Затверджені години",
        'door_installation': "Установка дверей",
        'add_a_note': "Додайте примітку",
        'confirm_time': "Підтвердити час",
        'edit_entry': "Редагувати запис",
        'submit_for_approval': "Надіслати на затвердження",
        'enter_your_note_here': "Введіть свою нотатку тут...",
        'reload': "Перезавантажити",
        'confirm': "Підтвердити",
        'please_select_company_logo': "Виберіть логотип компанії",
        'country_code': "Код країни",
        'select_country_code': "Виберіть код країни",
        'conflicts_empty_value': "—",
        'widget': "Віджет",
        'notification': "Сповіщення",
        'notifications': "Сповіщення",
        'conflicts': "Конфлікти",
        'are_you_sure_you_want_to_split': "Ви впевнені, що хочете розділитися?",
        'are_you_sure_you_want_to_cut': "Ви впевнені, що хочете вирізати?",
        'are_you_sure_you_want_to_resolve': "Ви впевнені, що хочете вирішити?",
        'are_you_sure_you_want_to_discard': "Ви впевнені, що хочете скасувати?",
        'timesheet_conflicts_section': "Конфлікти табелів",
        'billing_conflicts_section': "Білінгові конфлікти",
        'team_conflicts_section': "Командні конфлікти",
        'health_safety_conflicts_section': "Конфлікти щодо здоров'я та безпеки",
        'store_conflicts_section': "Конфлікти магазинів",
        'conflicts_timesheet_delete_only_tag': "Лише видалення",
        'billing_conflict_tile_tag': "Платіжна інформація",
        'billing_conflict_sheet_badge': "Виставлення рахунків",
        'billing_conflict_billing_info_changes': "ЗМІНИ ПЛАТІЖНОЇ ІНФОРМАЦІЇ",
        'conflicts_resolution_section': "РОЗДІЛ",
        'billing_conflict_keep_changes': "Зберегти зміни",
        'billing_conflict_discard': "Відкинути",
        'billing_conflict_before': "ПЕРЕД",
        'billing_conflict_after': "ПІСЛЯ",
        'store_conflict_amount_limit_exceeded': "Обмеження суми перевищено",
        'store_conflict_qty_exceeded': "Перевищена кількість",
        'store_conflict_qty': "QTY",
        'store_conflict_stock_overview': "ОГЛЯД АКЦІЙ",
        'store_conflict_store_details': "ДЕТАЛІ ПРО МАГАЗИН",
        'store_conflict_product_details': "ДЕТАЛІ ПРОДУКТУ",
        'store_conflict_total': "РАЗОМ",
        'store_conflict_max_limit': "МАКС. ЛІМІТ",
        'store_conflict_unit_price': "ЦІНА ЗА ОДИНИЦЮ",
        'store_conflict_store': "Магазин",
        'store_conflict_product': "Продукт",
        'store_conflict_conflict_type': "Тип конфлікту",
        'conflicts_mark_as_resolved': "Позначити як вирішене",
        'notification_settings': "Налаштування сповіщень",
        'settings': "Налаштування",
        'trades': "Торги",
        'blank': "Пустий",
        'user_permissions': "Дозволи користувача",
        'widgets': "віджети",
        'company_permissions': "Дозволи компанії",
        'permissions': "Дозволи",
        'company_code': "Код підприємства",
        'company_admin': "Адміністратор компанії",
        'company_address': "Адреса компанії",
        'company_email_address': "Адреса електронної пошти компанії",
        'company_website': "Веб-сайт компанії",
        'company_description': "Опис компанії",
        'utr': "UTR",
        'registration_number': "Реєстраційний номер",
        'vat_number': "Номер ПДВ",
        'company_established_Date': "Дата створення компанії",
        'main_contracts': "Основні договори",
        'working_hours': "Години роботи",
        'working': "Працює",
        'ongoing': "Триває",
        'insurance_number': "Номер страхування",
        'insurance_expires_on': "Страхування закінчується",
        'number_of_employee': "Кількість працівників",
        'edit_widget': "Редагувати віджет",
        'users': "Користувачі",
        'teams': "Команди",
        'generate_code': "Згенерувати код",
        'random_code_generator': "Генератор випадкового коду",
        'generate': "Генерувати",
        'unauthorized_message': "Ми виходимо з системи, оскільки знайшли доступ до вашого облікового запису з іншого пристрою",
        'search_user': "Пошук користувача",
        'search_zone': "Зона пошуку",
        'search_user_trade': "Пошук користувача/торгівлі",
        'date_of_birth': "Дата народження",
        'post_code': "Поштовий індекс",
        'my_address': "Моя адреса",
        'name': "Ім'я",
        'nin': "NIN",
        'name_on_account': "Ім'я на рахунку",
        'bank_name': "Назва банку",
        'account_number': "Номер рахунку",
        'sort_code': "Код сортування",
        'personal_info': "Особиста інформація",
        'general': "Загальний",
        'tax_info': "Податкова інформація",
        'bank_details': "Банківські реквізити",
        'select_all': "Виберіть усі",
        'unselect_all': "Скасувати вибір усіх",
        'create_new_team': "Створити нову команду",
        'edit_team': "Редагувати команду",
        'team_name': "Назва команди",
        'select_supervisor': "Виберіть Супервайзер",
        'add_team_members': "Додайте учасників команди",
        'select_team_members': "Виберіть членів команди",
        'max_members': "Максимальна кількість учасників",
        'trade_wise_max_members': "Trade-Wise Max Members",
        'select': "Виберіть",
        'add': "додати",
        'delete': "Видалити",
        'edit': "Редагувати",
        'archive': "Архів",
        'un_archive': "Розархівувати",
        'archived_teams': "Заархівовані команди",
